ACTION_1_PREDICTION,ACTION_0_PREDICTION,ACTION_PREDICTION,THRESHOLD,POSITIVE_CLASS,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0.9809480906,0.0190519094,1,0.5,1,1,35197,57715,117961,118446,118701,118702,118703,118704,118705
0.9881597757,0.0118402243,1,0.5,1,1,86316,7002,117961,118343,123125,118278,132715,290919,118279
0.9851946235,0.0148053765,1,0.5,1,1,27785,5636,117961,118413,122007,118321,117906,290919,118322
0.9799172282,0.0200827718,1,0.5,1,1,37427,5220,117961,118300,118458,120006,303717,118424,120008
0.9980185032,0.0019814968,1,0.5,1,1,15672,111936,117961,118300,118783,117905,240983,290919,117908
0.9732749462,0.0267250538,1,0.5,1,1,92885,744,117961,118300,119181,118777,279443,308574,118779
0.998667717,0.001332283,1,0.5,1,1,1020,85475,117961,118300,120410,118321,117906,290919,118322
0.9978249073,0.0021750927,1,0.5,1,1,4675,7551,117961,118052,118867,118259,117906,290919,118261
0.9572935104,0.0427064896,1,0.5,1,1,41334,28253,118315,118463,123089,118259,128796,290919,118261
0.9816057086,0.0183942914,1,0.5,1,1,77385,14829,117961,118052,119986,117905,117906,290919,117908
0.9837724566,0.0162275434,1,0.5,1,1,20273,11506,118216,118587,118846,179731,128361,117887,117973
0.9622660279,0.0377339721,1,0.5,1,1,78098,46556,118090,118091,117884,118568,165015,19721,118570
0.9688160419,0.0311839581,1,0.5,1,1,79328,4219,117961,118300,120312,120313,144958,118424,120315
0.9901931286,0.0098068714,1,0.5,1,1,23921,4953,117961,118343,119598,120344,310997,118424,120346
0.979316771,0.020683229,1,0.5,1,1,34687,815,117961,118300,123719,117905,117906,290919,117908
0.9963686466,0.0036313534,1,0.5,1,1,43452,169112,117902,118041,119781,118563,121024,270488,118565
0.9668515325,0.0331484675,1,0.5,1,1,33248,4929,117961,118300,118825,118826,226343,118424,118828
0.9970815778,0.0029184222,1,0.5,1,1,78282,7445,117961,118343,122299,118054,121350,117887,118055
0.9818083644,0.0181916356,1,0.5,1,1,17183,794,118752,119070,117945,280788,152940,292795,119082
0.9931889772,0.0068110228,1,0.5,1,1,38658,1912,119134,119135,118042,120097,174445,270488,120099
0.9881147146,0.0118852854,1,0.5,1,1,14354,50368,117926,118266,117884,118568,281735,19721,118570
0.9768407345,0.0231592655,1,0.5,1,1,45019,1080,117961,118327,118378,120952,120953,118453,120954
0.9577816725,0.0422183275,1,0.5,1,1,13878,1541,117961,118225,123173,120812,123174,118638,120814
0.9655523896,0.0344476104,1,0.5,1,1,14570,46805,117929,117930,117920,118568,281735,19721,118570
0.7634438276,0.2365561724,1,0.5,1,0,74310,49521,117961,118300,118301,119849,235245,118638,119851
0.8586524725,0.1413475275,1,0.5,1,1,6977,1398,117961,118300,120722,118784,130735,290919,118786
0.986765027,0.013234973,1,0.5,1,1,31613,5899,117961,118327,120318,118777,296252,308574,118779
0.9836668968,0.0163331032,1,0.5,1,1,1020,21127,117961,118052,119408,118777,279443,308574,118779
0.9928025603,0.0071974397,1,0.5,1,1,32270,3887,117961,118343,120347,120348,265969,118295,120350
0.9105823636,0.0894176364,1,0.5,1,1,19629,19645,117961,118413,118481,118784,240983,290919,118786
0.9962137341,0.0037862659,1,0.5,1,1,15702,1938,117961,118300,118066,120560,304465,118643,120562
0.9883220792,0.0116779208,1,0.5,1,1,113037,5396,117961,118343,119993,120773,118959,118960,120774
0.9213327169,0.0786672831,1,0.5,1,1,20279,17695,117890,117891,117878,117879,117879,19721,117880
0.9940713048,0.0059286952,1,0.5,1,1,80746,16690,117961,118446,119064,122022,131302,119221,122024
0.9439740181,0.0560259819,1,0.5,1,1,80263,36145,117961,118052,120304,307024,311622,118331,118332
0.9788757563,0.0211242437,1,0.5,1,1,73753,70062,117961,118386,118746,117905,117906,290919,117908
0.9900497198,0.0099502802,1,0.5,1,1,39883,7551,117961,118052,118867,117905,172635,290919,117908
0.9733489156,0.0266510844,1,0.5,1,1,25993,7023,117961,117962,119223,118259,118260,290919,118261
0.5191064477,0.4808935523,1,0.5,1,0,78106,50613,117916,118150,118810,118568,159905,19721,118570
0.9214471579,0.0785528421,1,0.5,1,1,33150,1915,117961,118300,119181,118784,117906,290919,118786
0.9640052915,0.0359947085,1,0.5,1,1,34817,5899,117961,118327,120318,118641,240982,118643,118644
0.9347577095,0.0652422905,1,0.5,1,1,28354,3860,117961,118446,120317,118321,117906,290919,118322
0.9876154661,0.0123845339,1,0.5,1,1,33642,13196,117951,117952,117941,117879,117897,19721,117880
0.9914502501,0.0085497499,1,0.5,1,1,26430,56310,118212,118580,117895,117896,117913,117887,117898
0.9728487134,0.0271512866,1,0.5,1,1,28149,50120,91261,118026,119507,118321,117906,290919,118322
0.9951463342,0.0048536658,1,0.5,1,1,40867,6736,117961,117969,6725,122290,268766,6725,122292
0.3833480775,0.6166519225,0,0.5,1,1,20293,273476,117926,118266,117920,118568,310732,19721,118570
0.8359407783,0.1640592217,1,0.5,1,1,36020,2163,118219,118220,120694,118777,130218,308574,118779
0.9327135086,0.0672864914,1,0.5,1,1,60006,16821,117961,118225,120535,118396,269406,118398,118399
0.7517828941,0.2482171059,1,0.5,1,0,35043,14800,117961,117962,118352,118784,117906,290919,118786
0.9385647178,0.0614352822,1,0.5,1,1,17308,4088,117961,118300,118458,118728,223125,118295,118730
0.7505628467,0.2494371533,1,0.5,1,0,15716,18073,118256,118257,118623,118995,286106,292795,118997
0.4076263607,0.5923736393,0,0.5,1,1,39883,55956,118555,118178,119262,117946,119727,292795,117948
0.986687839,0.013312161,1,0.5,1,1,42031,88387,118315,118463,118522,119172,121927,118467,119174
0.9691967368,0.0308032632,1,0.5,1,1,27124,2318,117961,118327,118933,117905,117906,290919,117908
0.9918271303,0.0081728697,1,0.5,1,1,35498,18454,117961,118343,119598,125171,257115,118424,125173
0.8881695867,0.1118304133,1,0.5,1,1,79168,58465,118602,118603,117941,117885,119621,117887,117888
0.94087708,0.05912292,1,0.5,1,1,2252,782,117961,118413,127522,118784,240983,290919,118786
0.935295701,0.064704299,1,0.5,1,1,45652,7338,117961,118225,119924,118321,118448,290919,118322
0.9958976507,0.0041023493,1,0.5,1,1,23921,4145,117961,118300,120026,307024,303717,118331,118332
0.9575021267,0.0424978733,1,0.5,1,1,95247,50690,118269,118270,117878,118568,118568,19721,118570
0.9924025536,0.0075974464,1,0.5,1,1,78844,15645,117961,118052,122392,128903,160695,292795,128905
0.9918857813,0.0081142187,1,0.5,1,1,19481,10627,118106,118107,119565,179731,155780,117887,117973
0.9916523099,0.0083476901,1,0.5,1,1,18380,44022,117961,117962,122215,127782,130085,290919,127783
0.9721142054,0.0278857946,1,0.5,1,1,37734,58406,117975,117976,117884,117885,117913,117887,117888
0.9937993884,0.0062006116,1,0.5,1,1,3853,17550,117961,118446,118684,118321,117906,290919,118322
0.9926769733,0.0073230267,1,0.5,1,1,278393,7076,117961,118225,120323,119093,136840,119095,119096
0.9836423397,0.0163576603,1,0.5,1,1,35625,6454,117961,118343,118856,117905,240983,290919,117908
0.9367029071,0.0632970929,1,0.5,1,1,35066,17465,91261,118026,118202,118278,118260,290919,118279
0.9962761402,0.0037238598,1,0.5,1,1,3853,5043,117961,118300,118458,120006,310997,118424,120008
0.9694985151,0.0305014849,1,0.5,1,1,41569,16671,117961,118052,118706,118523,310608,118331,118525
0.991830647,0.008169353,1,0.5,1,1,25862,46224,117961,118327,118378,120952,143223,118453,120954
0.8484477401,0.1515522599,1,0.5,1,1,75078,45963,117961,118386,118896,122645,309858,119221,122647
0.9758417606,0.0241582394,1,0.5,1,1,1020,1483,117961,117962,118840,118641,306399,118643,118644
0.333807677,0.666192323,0,0.5,1,0,22956,3967,117961,118052,118706,118321,117906,290919,118322
0.8113695979,0.1886304021,1,0.5,1,1,20364,2612,117961,118386,123901,117905,117906,290919,117908
0.9350053668,0.0649946332,1,0.5,1,1,28943,7547,117961,118052,118933,118784,213944,290919,118786
0.9744899273,0.0255100727,1,0.5,1,1,75329,17414,118752,119070,118042,118043,151099,270488,118046
0.9656503797,0.0343496203,1,0.5,1,1,41569,70066,91261,118026,118202,117905,117906,290919,117908
0.9997586608,0.0002413392,1,0.5,1,1,4684,50806,117961,118446,119961,118259,118260,290919,118261
0.9076998234,0.0923001766,1,0.5,1,1,77943,4478,117961,118386,118692,118321,117906,290919,118322
0.988322556,0.011677444,1,0.5,1,1,38860,15541,118573,118574,118556,280788,127423,292795,119082
0.9601926804,0.0398073196,1,0.5,1,1,74142,2371,117961,117962,118501,120702,308462,118504,120704
0.9796369672,0.0203630328,1,0.5,1,1,58928,17091,117961,118225,118403,118054,287351,117887,118055
0.990644455,0.009355545,1,0.5,1,1,79309,17128,117961,118300,119984,118396,300044,118398,118399
0.7508807182,0.2491192818,1,0.5,1,0,36480,15510,118169,118170,118171,130479,185784,119784,130481
0.9723649621,0.0276350379,1,0.5,1,1,16591,44053,117961,117962,117904,119949,123170,290919,119951
0.8760022521,0.1239977479,1,0.5,1,1,77429,14810,117961,118413,120370,118321,117906,290919,118322
0.8773739934,0.1226260066,1,0.5,1,1,80550,5659,117961,118300,124725,118321,117906,290919,118322
0.9921137094,0.0078862906,1,0.5,1,1,25814,1065,117961,118327,121589,118641,306399,118643,118644
0.9713776112,0.0286223888,1,0.5,1,1,15805,4438,117961,118386,121668,118777,279443,308574,118779
0.9986665249,0.0013334751,1,0.5,1,1,4675,59029,118555,118178,118320,118321,117906,290919,118322
0.9958062172,0.0041937828,1,0.5,1,1,56665,4636,117902,117903,119181,120952,130134,118453,120954
0.9613998532,0.0386001468,1,0.5,1,1,73756,3371,117902,118041,118042,118043,118044,270488,118046
0.984200418,0.015799582,1,0.5,1,1,90518,7252,117961,117962,118352,117905,117906,290919,117908
0.545483768,0.454516232,1,0.5,1,0,80501,19717,117961,117962,118352,118321,117906,290919,118322
0.9886755943,0.0113244057,1,0.5,1,1,81480,96704,117910,117911,117884,117879,117886,19721,117880
0.994780302,0.005219698,1,0.5,1,1,3069,770,117961,118300,119181,118451,130134,118453,118454
0.9993638396,0.0006361604,1,0.5,1,1,79021,5568,121785,121786,118492,132692,174445,270488,132694
0.8225190639,0.1774809361,1,0.5,1,1,33642,50323,117980,117981,117941,118568,281735,19721,118570
0.9628351927,0.0371648073,1,0.5,1,1,23553,20899,117961,118340,117970,179731,179731,117887,117973
0.992390573,0.007609427,1,0.5,1,1,42085,5715,91261,118026,119362,119363,307210,118667,119365
0.8133410215,0.1866589785,1,0.5,1,1,38655,17614,117902,118041,118042,118043,118044,270488,118046
0.9682095051,0.0317904949,1,0.5,1,1,25330,19702,118269,118270,117878,117879,117879,19721,117880
0.995603323,0.004396677,1,0.5,1,1,1098,6993,117961,118343,118514,117905,240983,290919,117908
0.6213769913,0.3786230087,1,0.5,1,0,23096,29762,117961,118052,120398,122067,130238,118424,122069
0.9927773476,0.0072226524,1,0.5,1,1,34433,50976,117961,118413,119968,117905,117906,290919,117908
0.9867051244,0.0132948756,1,0.5,1,1,78607,7560,117961,118343,119181,118321,117906,290919,118322
0.9990333319,0.0009666681,1,0.5,1,1,79121,225257,120342,120343,119076,118422,124426,118424,118425
0.9994210005,0.0005789995,1,0.5,1,1,42347,98689,117902,117903,132530,117905,117906,290919,117908
0.9411905408,0.0588094592,1,0.5,1,1,34575,4013,117961,118300,118514,118321,240983,290919,118322
0.5068939924,0.4931060076,1,0.5,1,1,19730,4311,119062,119091,118514,118777,279443,308574,118779
0.9970484376,0.0029515624,1,0.5,1,1,103462,15413,117961,118343,120270,311867,130382,118478,118479
0.990983963,0.009016037,1,0.5,1,1,39262,51748,118315,118316,225010,118685,279443,308574,118687
0.998391211,0.001608789,1,0.5,1,1,16333,111936,117961,118300,118783,117905,240983,290919,117908
0.9898424745,0.0101575255,1,0.5,1,1,15007,770,117961,118300,120722,118451,130134,118453,118454
0.9822518826,0.0177481174,1,0.5,1,1,75787,15387,117887,118178,118575,119849,212678,118638,119851
0.9836493731,0.0163506269,1,0.5,1,1,45790,1215,117961,118327,120171,118863,126488,118398,118865
0.9982081652,0.0017918348,1,0.5,1,1,20349,46254,117961,118327,126310,118641,306399,118643,118644
0.9788757563,0.0211242437,1,0.5,1,1,73752,70062,117961,118386,118746,117905,117906,290919,117908
0.9908973575,0.0091026425,1,0.5,1,1,6964,5432,117961,118327,118391,118641,123881,118643,118644
0.9740255475,0.0259744525,1,0.5,1,1,25231,1216,117902,117903,118507,119529,205305,119006,119531
0.9783629179,0.0216370821,1,0.5,1,1,34633,4264,118887,118888,118979,118980,199144,118295,118982
0.9798342586,0.0201657414,1,0.5,1,1,28472,28163,118315,118316,120361,118321,175154,290919,118322
0.5222780704,0.4777219296,1,0.5,1,1,24015,14731,117961,118446,118447,119346,302830,4673,119348
0.9860449433,0.0139550567,1,0.5,1,1,75813,75640,118315,118463,119214,118321,117906,290919,118322
0.9970120192,0.0029879808,1,0.5,1,1,74161,2290,117902,117903,118403,128422,122352,118453,128424
0.9846628904,0.0153371096,1,0.5,1,1,30628,7987,117961,118327,120383,118321,149826,290919,118322
0.999101162,0.000898838,1,0.5,1,1,4675,17394,117961,118413,122007,118321,117906,290919,118322
0.966868937,0.033131063,1,0.5,1,1,45444,124899,117961,118327,120171,118890,182227,118398,118892
0.998604238,0.001395762,1,0.5,1,1,3853,5030,117961,118343,120126,120497,223125,118424,120499
0.9950335026,0.0049664974,1,0.5,1,1,32997,2286,117902,117903,277693,117905,117906,290919,117908
0.9818772078,0.0181227922,1,0.5,1,1,31613,7629,117961,118327,120383,118784,213944,290919,118786
0.9769793153,0.0230206847,1,0.5,1,1,42031,28245,118315,118463,123089,117905,130219,290919,117908
0.9836349487,0.0163650513,1,0.5,1,1,6302,50581,118114,118115,117884,117885,117913,117887,117888
0.9924530387,0.0075469613,1,0.5,1,1,79850,4004,117961,118343,118856,117905,117906,290919,117908
0.9616647959,0.0383352041,1,0.5,1,1,79647,5360,117961,118446,122550,118321,117906,290919,118322
0.9648683667,0.0351316333,1,0.5,1,1,7678,15417,117961,119256,119257,126684,130913,292795,126685
0.9969768524,0.0030231476,1,0.5,1,1,4675,49577,117961,118327,118933,118784,200462,290919,118786
0.3037807941,0.6962192059,0,0.5,1,0,77977,3811,120864,121013,118395,118396,269406,118398,118399
0.9658898115,0.0341101885,1,0.5,1,1,44812,5432,117961,118327,118391,118784,117906,290919,118786
0.9994328618,0.0005671382,1,0.5,1,1,80472,120822,119596,119597,120823,120647,311441,118398,120649
0.249204874,0.750795126,0,0.5,1,0,14570,23304,117961,118327,124921,137969,271378,118612,137970
0.9913593531,0.0086406469,1,0.5,1,1,43519,6890,117961,118446,120317,117905,117906,290919,117908
0.9852710962,0.0147289038,1,0.5,1,1,75834,8343,119301,119302,119303,117905,120828,290919,117908
0.8800544143,0.1199455857,1,0.5,1,1,98054,36,117961,118413,119968,118321,117906,290919,118322
0.991114378,0.008885622,1,0.5,1,1,80222,44038,117902,117903,118910,119346,302830,4673,119348
0.9905738235,0.0094261765,1,0.5,1,1,31299,3118,117961,118300,118458,120789,309123,118424,120791
0.999869585,0.000130415,1,0.5,1,1,78327,79402,117983,117984,117878,118568,292195,19721,118570
0.7948663235,0.2051336765,1,0.5,1,1,19722,4511,117961,118300,119181,118321,117906,290919,118322
0.9955753088,0.0044246912,1,0.5,1,1,1937,6216,117961,118327,118328,130857,161026,308574,130858
0.9822673202,0.0177326798,1,0.5,1,1,75901,4945,117961,118300,118360,119849,148676,118638,119851
0.996755898,0.003244102,1,0.5,1,1,25993,139593,117902,118041,119781,130479,179826,119784,130481
0.4916799664,0.5083200336,0,0.5,1,0,20312,18044,117961,118386,118522,118321,117906,290919,118322
0.9993168116,0.0006831884,1,0.5,1,1,4675,71189,117961,118386,128823,118259,125206,290919,118261
0.9823271036,0.0176728964,1,0.5,1,1,40919,38364,118315,118316,118464,130857,156150,308574,130858
0.9855635166,0.0144364834,1,0.5,1,1,74242,7398,117961,118225,118616,117905,240983,290919,117908
0.9951871634,0.0048128366,1,0.5,1,1,80215,217,117961,118413,120370,118321,240983,290919,118322
0.985067904,0.014932096,1,0.5,1,1,29058,3651,119062,119091,123125,124152,300136,118424,124154
0.9908921719,0.0091078281,1,0.5,1,1,79092,25557,117961,118300,121951,128422,130134,118453,128424
0.9934999347,0.0065000653,1,0.5,1,1,15913,2061,117961,118327,120383,118641,120319,118643,118644
0.9760706425,0.0239293575,1,0.5,1,1,25098,2003,118441,118442,118378,118054,121603,117887,118055
0.9794254899,0.0205745101,1,0.5,1,1,25312,69981,118595,118596,118706,118172,130384,249618,118175
0.9938631058,0.0061368942,1,0.5,1,1,1151,50117,117961,118327,118507,118863,122008,118398,118865
0.9815058708,0.0184941292,1,0.5,1,1,79092,70264,117961,118343,118437,124435,118362,118363,124436
0.951178968,0.048821032,1,0.5,1,1,44644,50997,117961,118052,120539,118321,118448,290919,118322
0.9601881504,0.0398118496,1,0.5,1,1,86292,8715,117961,118052,119986,118321,117906,290919,118322
0.9998970032,0.0001029968,1,0.5,1,1,4675,8563,117961,118300,118783,117905,117906,290919,117908
0.956510663,0.043489337,1,0.5,1,1,34580,1398,117961,118300,120722,118784,130735,290919,118786
0.3295245767,0.6704754233,0,0.5,1,0,18913,273476,117926,118266,117920,118568,310732,19721,118570
0.9967533946,0.0032466054,1,0.5,1,1,16321,7014,117961,118446,119961,118278,118260,290919,118279
0.9929371476,0.0070628524,1,0.5,1,1,80780,4272,117961,118343,120666,123045,123107,120518,123047
0.2235818356,0.7764181644,0,0.5,1,0,44976,7691,118555,118178,117945,117946,119114,292795,117948
0.9892315269,0.0107684731,1,0.5,1,1,41235,59000,118181,118182,117941,118568,292195,19721,118570
0.9511656761,0.0488343239,1,0.5,1,1,7543,6257,117961,118343,120722,118784,117906,290919,118786
0.988545239,0.011454761,1,0.5,1,1,3853,20560,117876,117877,117878,117879,117879,19721,117880
0.9941492081,0.0058507919,1,0.5,1,1,34396,34375,117961,117969,189629,179731,123099,117887,117973
0.9856853485,0.0143146515,1,0.5,1,1,41643,13854,117961,118052,118821,118278,117906,290919,118279
0.9829565287,0.0170434713,1,0.5,1,1,80057,7084,117961,118386,121961,118318,130278,118205,118319
0.8450176716,0.1549823284,1,0.5,1,1,38964,4341,117961,118343,118957,118321,117906,290919,118322
0.876424551,0.123575449,1,0.5,1,1,16619,14731,117961,118446,118447,121594,170665,4673,121596
0.9981791973,0.0018208027,1,0.5,1,1,4675,4362,118212,118213,126955,118685,120316,308574,118687
0.9935147762,0.0064852238,1,0.5,1,1,79228,13400,117983,117984,117878,117879,117879,19721,117880
0.986390233,0.013609767,1,0.5,1,1,36480,15541,118573,118574,118556,280788,127423,292795,119082
0.9881621003,0.0118378997,1,0.5,1,1,20279,50625,117916,118150,117884,117885,117913,117887,117888
0.9923599362,0.0076400638,1,0.5,1,1,42873,4590,117961,118343,118395,123067,269406,118398,123068
0.9944106936,0.0055893064,1,0.5,1,1,37942,11439,117935,117936,117878,117885,117913,117887,117888
0.9162537456,0.0837462544,1,0.5,1,1,36674,14633,118106,118107,117884,117879,117886,19721,117880
0.8852970004,0.1147029996,1,0.5,1,1,25831,55161,118752,119070,118754,119885,118806,118474,119887
0.9566979408,0.0433020592,1,0.5,1,1,35196,16643,119134,119135,118701,119587,284481,118704,119589
0.9730624557,0.0269375443,1,0.5,1,1,39518,7822,117961,118327,118492,118777,174445,308574,118779
0.6171534061,0.3828465939,1,0.5,1,1,41649,4084,117961,118052,118992,118321,117906,290919,118322
0.9680953026,0.0319046974,1,0.5,1,0,7543,4554,117961,118300,118514,118259,118260,290919,118261
0.9977859259,0.0022140741,1,0.5,1,1,75078,75114,118315,118463,118522,307024,294485,118331,118332
0.9970771074,0.0029228926,1,0.5,1,1,16153,79105,119062,119063,124211,120516,123107,120518,120519
0.9214471579,0.0785528421,1,0.5,1,1,33155,1915,117961,118300,119181,118784,117906,290919,118786
0.9509366751,0.0490633249,1,0.5,1,1,7543,23144,117961,118225,118403,120690,120690,290919,120692
0.9822721481,0.0177278519,1,0.5,1,1,42942,5235,120864,121013,121961,118523,246167,118331,118525
0.990008831,0.009991169,1,0.5,1,1,13878,54261,117890,117891,117878,118568,123862,19721,118570
0.9893783927,0.0106216073,1,0.5,1,1,20292,50448,117926,118124,117884,117879,117886,19721,117880
0.9915440083,0.0084559917,1,0.5,1,1,42031,2071,117961,118386,118501,118502,130777,118504,118505
0.9981169701,0.0018830299,1,0.5,1,1,6914,5518,117961,118300,118514,118259,132715,290919,118261
0.9710708261,0.0289291739,1,0.5,1,1,75834,21033,117961,118300,123749,118777,279443,308574,118779
0.9937490225,0.0062509775,1,0.5,1,1,39233,5659,117961,118300,124725,117905,117906,290919,117908
0.9973153472,0.0026846528,1,0.5,1,1,40867,87910,91261,118026,119507,118278,118260,290919,118279
0.9900868535,0.0099131465,1,0.5,1,1,25213,1311,117961,117962,118910,118451,123503,118453,118454
0.9955796599,0.0044203401,1,0.5,1,1,55554,1448,117902,117903,120722,117905,117906,290919,117908
0.995628953,0.004371047,1,0.5,1,1,75078,3230,117961,118386,121961,120348,249620,118295,120350
0.9992393255,0.0007606745,1,0.5,1,1,31299,1605,117961,118327,128935,149337,205238,118398,149339
0.9842504263,0.0157495737,1,0.5,1,1,79948,4932,117961,118225,119824,123737,147851,118960,123738
0.9970636964,0.0029363036,1,0.5,1,1,78845,81794,117961,118052,119972,122551,159682,118762,122552
0.9589011073,0.0410988927,1,0.5,1,1,38470,72734,118079,118080,117878,117885,118177,117887,117888
0.9538855553,0.0461144447,1,0.5,1,1,45976,16527,91261,118026,118202,118321,117906,290919,118322
0.9868115783,0.0131884217,1,0.5,1,1,74818,4274,117961,118327,118744,120591,183734,119095,120593
0.9915003777,0.0084996223,1,0.5,1,1,70452,13401,117980,117981,118246,179731,141712,117887,117973
0.9694080949,0.0305919051,1,0.5,1,1,40438,17640,117961,118052,118706,118318,120689,118205,118319
0.9961179495,0.0038820505,1,0.5,1,1,20279,72322,117916,118011,117884,117885,117913,117887,117888
0.0942931324,0.9057068676,0,0.5,1,0,967,2855,118169,118170,119262,117946,125711,292795,117948
0.8856102228,0.1143897772,1,0.5,1,1,36772,51491,118074,23779,117884,117879,117886,19721,117880
0.9969071746,0.0030928254,1,0.5,1,1,43431,120000,117961,118225,119136,120056,255657,118474,120058
0.9986894727,0.0013105273,1,0.5,1,1,4675,69637,119062,119091,118535,117905,117906,290919,117908
0.9816951752,0.0183048248,1,0.5,1,1,25993,4933,117961,118300,118458,307024,301218,118331,118332
0.9935548902,0.0064451098,1,0.5,1,1,25231,1038,118887,118888,118889,118863,307233,118398,118865
0.9166836739,0.0833163261,1,0.5,1,1,6977,5697,117961,118386,118692,118784,117906,290919,118786
0.9865239859,0.0134760141,1,0.5,1,1,99461,1088,117961,118327,119830,117905,117906,290919,117908
0.9476387501,0.0523612499,1,0.5,1,1,42881,1988,117961,118446,16232,117905,117906,290919,117908
0.9513000846,0.0486999154,1,0.5,1,1,80973,15746,117961,118052,119742,118321,118448,290919,118322
0.786456883,0.213543117,1,0.5,1,1,17825,13836,119920,119921,142145,128230,302830,4673,128231
0.9604314566,0.0395685434,1,0.5,1,1,43876,58954,118079,118080,117878,117885,118177,117887,117888
0.9781948924,0.0218051076,1,0.5,1,1,74161,7586,117961,118225,118403,118321,117906,290919,118322
0.9083717465,0.0916282535,1,0.5,1,1,24890,3692,117961,118413,126229,121594,207709,4673,121596
0.9873527288,0.0126472712,1,0.5,1,1,6977,70056,117961,118225,118403,118777,279443,308574,118779
0.677380681,0.322619319,1,0.5,1,0,107225,15389,117961,118225,122870,119928,129017,118331,119929
0.9532419443,0.0467580557,1,0.5,1,1,44909,4659,117961,118225,120663,118784,147114,290919,118786
0.689714551,0.310285449,1,0.5,1,1,74283,25618,117961,118327,118320,118523,310608,118331,118525
0.9909899235,0.0090100765,1,0.5,1,1,34075,221,117961,118413,120370,118321,118448,290919,118322
0.9867784977,0.0132215023,1,0.5,1,1,75078,46608,118315,118463,122636,120773,123148,118960,120774
0.9733021259,0.0266978741,1,0.5,1,1,42093,2594,117961,118300,123472,118259,118260,290919,118261
0.9571840763,0.0428159237,1,0.5,1,1,3057,1398,117961,118300,120722,118321,117906,290919,118322
0.95710814,0.04289186,1,0.5,1,1,27416,1549,118084,118085,117920,118129,132803,118131,118132
0.991794765,0.008205235,1,0.5,1,1,74347,33266,117961,118300,123719,117905,240983,290919,117908
0.8532993197,0.1467006803,1,0.5,1,0,21751,56199,117961,118052,118881,117905,117906,290919,117908
0.9733674526,0.0266325474,1,0.5,1,1,73562,13845,117961,117962,120526,118784,310608,290919,118786
0.9431461692,0.0568538308,1,0.5,1,1,29304,98229,117975,117976,117884,117879,117886,19721,117880
0.9924351573,0.0075648427,1,0.5,1,1,39353,85475,117961,118300,120410,118784,117906,290919,118786
0.9681066275,0.0318933725,1,0.5,1,1,25744,6225,117961,118343,120722,118784,117906,290919,118786
0.9826258421,0.0173741579,1,0.5,1,1,78816,6216,117961,118052,118328,124886,306399,118643,124888
0.9667506814,0.0332493186,1,0.5,1,1,38714,3692,117961,118413,120370,121594,170665,4673,121596
0.9859240055,0.0140759945,1,0.5,1,1,38840,7915,117961,118300,118597,118834,127160,118424,118836
0.9608031511,0.0391968489,1,0.5,1,1,39395,49423,117961,118052,123144,118396,269406,118398,118399
0.9944890738,0.0055109262,1,0.5,1,1,1003,7220,117961,118225,120551,117905,186454,290919,117908
0.9775681496,0.0224318504,1,0.5,1,1,34886,4639,117961,118343,118856,118278,117906,290919,118279
